group,shadcn_token,shadcn_default_light,shadcn_default_dark,role,sy_token,sy_light,sy_dark,applies_when,status,automatable,note
Surfaces,--background,#FFFFFF,#0A0A0A,page canvas,--sy-bg-page,#FFFFFF,#09090B,always,direct,yes,Both pure white. Nothing to decide.
Surfaces,--foreground,#0A0A0A,#FAFAFA,default body text,--sy-text-primary,#09090B,#F4F4F6,always,direct,yes,#0A0A0A vs #09090B — same colour to the eye (ΔE 0.4).
Surfaces,--card,#FFFFFF,#171717,card / panel fill,--sy-bg-raised,#FFFFFF,#1E1E24,always,ruled,partial,"Decided: bg.raised + variant=outlined. 237 sites. shadcn Card is one flat white fill + border. Your Card has variant: flat / outlined / elevated / ai. The token choice and the variant choice are the same decision: bg.raised only reads as a card if something else (border or shadow) separates it, because bg.raised is also #FFFFFF in light mode."
Surfaces,--card-foreground,#0A0A0A,#FAFAFA,text on card,--sy-text-primary,#09090B,#F4F4F6,always,direct,yes,
Surfaces,--popover,#FFFFFF,#262626,"overlay fill (Popover, Dropdown, Command, Tooltip surface)",--sy-bg-raised,#FFFFFF,#1E1E24,always,direct,yes,"Overlays are raised by definition; separation comes from the elevation shadow, not the fill."
Surfaces,--popover-foreground,#0A0A0A,#FAFAFA,text on overlay,--sy-text-primary,#09090B,#F4F4F6,always,direct,yes,
Actions,--primary,#171717,#E5E5E5,primary action fill,--sy-action-primary-bg,#09090B,#FFFFFF,always,direct,yes,"Both near-black neutrals, and both invert in dark mode (shadcn → #EBEBEB, yours → #FFFFFF). No surprise there."
Actions,--primary-foreground,#FAFAFA,#171717,label on primary,--sy-action-primary-fg,#FFFFFF,#09090B,always,direct,yes,
Actions,--secondary,#F5F5F5,#262626,secondary action fill,--sy-action-secondary-bg,#F4F4F6,#33333A,always,direct,yes,#F5F5F5 vs #F4F4F6 — ΔE 0.4.
Actions,--secondary-foreground,#171717,#FAFAFA,label on secondary,--sy-text-primary,#09090B,#F4F4F6,always,direct,yes,
De-emphasis,--muted,#F5F5F5,#262626,de-emphasized surface,--sy-bg-sunken,#F4F4F6,#141419,always,direct,yes,"Value-identical to action.secondary-bg — as it already is in shadcn, where muted and secondary are the same hex. No information lost, but it means a secondary button sitting on a muted panel is invisible. Your tray rule already covers this (“secondary on bg.sunken MUST open to bg.page”) — it now needs to be linted, not just documented."
De-emphasis,--muted-foreground,#737373,#A1A1A1,ALL de-emphasized text and icons,--sy-text-secondary,#62626B,#A9A9B2,"default; use text-tertiary for placeholder/timestamp/column-header/unit-suffix, icon-secondary for icons",ruled,partial,"Decided: default to text.secondary. 1,557 sites — this was the decision your engineer was blocked on. shadcn has one token where you have three. The good news: today all 1,557 render at 4.74:1, and the default mapping to text.secondary improves every one of them. The risk is the opposite direction — if you route placeholders to text.secondary they become too dark and read as filled values. Ask her for the split between description text and placeholder/metadata before finalising."
De-emphasis,--muted-foreground,#737373,#A1A1A1,ALL de-emphasized text and icons (secondary case),--sy-text-tertiary,#83838D,#83838D,"placeholder, timestamps, table column headers, unit suffixes — NON-ESSENTIAL text only (3.75:1, below AA)",ruled,partial,Secondary target for the same shadcn token — route by the applies_when condition.
De-emphasis,--muted-foreground,#737373,#A1A1A1,ALL de-emphasized text and icons (secondary case),--sy-icon-secondary,#62626B,#A9A9B2,icons paired with text,ruled,partial,Secondary target for the same shadcn token — route by the applies_when condition.
De-emphasis,--accent,#F5F5F5,#262626,hover + selected surface,--sy-bg-hover,"rgba(9, 9, 11, 0.04)","rgba(255, 255, 255, 0.06)",hover: / focus: prefix,split,yes,Mechanically separable: the state modifier in the class name tells you which. hover:/focus: → bg.hover; data-[state=selected] → bg.selected. This one can be automated with high confidence.
De-emphasis,--accent,#F5F5F5,#262626,hover + selected surface (secondary case),--sy-bg-selected,#EFF3F7,#2A333F,data-[state=selected] / data-[state=active] / aria-selected,ruled,yes,Secondary target for the same shadcn token — route by the applies_when condition.
De-emphasis,--accent-foreground,#171717,#FAFAFA,text on accent,--sy-text-primary,#09090B,#F4F4F6,always,direct,yes,
Status,--destructive,#E7000B,#FF6467,"danger — text, border AND fill",--sy-status-danger,#B23230,#EE837D,text- or border- prefix,ruled,yes,"Decided: keep the split — both halves are required. Separable by utility prefix, so it automates cleanly: text-/border- → status.danger, bg- → status.danger-bg-solid. The fill value itself changed on 2026-07-30 — status.danger-bg-solid moved red.400 #DB504D → red.500 #D2403E, so a white label now clears AA at 4.62:1 with normal weight. That removed the only contrast regression in this whole table, and made the fill a closer match to shadcn's #E7000B (ΔE 30.5 vs 35.0) as a side effect. Its hover moved red.500 → red.600 #B23230."
Status,--destructive,#E7000B,#FF6467,"danger — text, border AND fill (secondary case)",--sy-status-danger-bg-solid,#D2403E,#D2403E,bg- prefix (solid fill),ruled,yes,Secondary target for the same shadcn token — route by the applies_when condition.
Status,--destructive-foreground,#FFFFFF,#FFFFFF,label on danger fill,--sy-action-danger-fg,#FFFFFF,#FFFFFF,always,direct,yes,
Lines & focus,--border,#E5E5E5,"rgba(255,255,255,0.10)",every border in the app,--sy-border-default,#E9E9ED,#4A4A52,all except <Separator>,split,yes,"shadcn uses one token for structural outlines and hairline dividers alike. You separated them. The <Separator> component is a clean seam — route it to border.subtle and everything else to border.default, and you get most of the benefit with no per-site review."
Lines & focus,--border,#E5E5E5,"rgba(255,255,255,0.10)",every border in the app (secondary case),--sy-border-subtle,#ECECEF,#33333A,<Separator> component (41 sites),ruled,yes,Secondary target for the same shadcn token — route by the applies_when condition.
Lines & focus,--border,#E5E5E5,"rgba(255,255,255,0.10)",every border in the app (secondary case),--sy-border-strong,#D1D1D8,#62626B,"emphasised outlines: outline buttons, selected cell borders",ruled,yes,Secondary target for the same shadcn token — route by the applies_when condition.
Lines & focus,--input,#E5E5E5,"rgba(255,255,255,0.15)",form field border at rest,--sy-border-default,#E9E9ED,#4A4A52,always,direct,yes,"Worth knowing: on focus your fields go to border.focus-input (#33333A, near-black) — not the indigo ring. shadcn uses ring for both, so field focus will change appearance."
Lines & focus,--ring,#A1A1A1,#737373,focus ring,--sy-border-focus,#3D63DD,#9DB3EE,always,direct,yes,This mapping fixes a systemic accessibility failure. shadcn's stock ring is grey #A1A1A1 at 2.58:1 against white — below the 3:1 that WCAG 1.4.11 requires for non-text indicators. Yours is 5.21:1. Every focusable element in the app is currently non-compliant and will visibly turn blue. Announce it before QA files it as a bug.
Charts,--chart-1,#F54900,#1447E6,series 1,--sy-viz-1,#016BE4,#0158BC,always,direct,yes,
Charts,--chart-2,#009689,#00BC7D,series 2,--sy-viz-2,#01B75C,#037D40,always,direct,yes,
Charts,--chart-3,#104E64,#FE9A00,series 3,--sy-viz-3,#A27201,#8E6401,always,direct,yes,
Charts,--chart-4,#FFB900,#AD46FF,series 4,--sy-viz-4,#FE5D58,#FE8E8A,always,direct,yes,shadcn's stock 4 and 5 are two near-identical oranges (#FFB900 / #FE9A00) — exactly the collision your viz rebuild removed.
Charts,--chart-5,#FE9A00,#FF2056,series 5,--sy-viz-5,#7A03E2,#7D01E9,always,direct,yes,You have 8 CVD-tested series against shadcn's 5. Any chart running 6+ series is hand-rolling colours today → viz.6–8.
